#name, A, B, C, D
NODE_0000000, 0.14883753893894877, 0.053252023872319726, 0.02684735581736862, 0.771063081371363
K054620, 0.0, 0.0, 0.0, 1.0
NODE_0000001, 0.16773931207112533, 0.04814817219324737, 0.016226571974978198, 0.767885943760649
NODE_0000015, 0.1427710826830033, 0.16405413936699573, 0.0240270290600874, 0.6691477488899136
NODE_0000018, 3.718503236728327e-11, 0.9999999995408775, 2.834106124095134e-11, 3.935965932861369e-10
ERR11219413, 0.0, 1.0, 0.0, 0.0
ERR10913490, 0.0, 0.9999999999999999, 0.0, 0.0
ERR11219418, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000004, 0.3179478561164564, 0.012315623289506052, 0.004198005775806802, 0.6655385148182307
K054637, 0.0, 0.0, 0.0, 1.0
NODE_0000005, 0.9662839878558378, 3.162732680949167e-05, 1.898449087566371e-05, 0.03366540032647699
K054668, 0.0, 0.0, 0.0, 1.0
K054652, 1.0, 0.0, 0.0, 0.0
NODE_0000021, 0.05568606723706819, 0.2988761048582608, 0.26019148584501145, 0.3852463420596596
NODE_0000022, 9.55815575476772e-07, 0.999987645623627, 2.594575372903064e-06, 8.803985424645641e-06
ERR11219415, 0.0, 0.9999999999999999, 0.0, 0.0
ERR11219416, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000023, 3.055754310453475e-08, 2.8281962688894178e-08, 0.9999019791400388, 9.796202045540714e-05
K054685, 0.0, 0.0, 1.0, 0.0
K054683, 0.0, 0.0, 1.0, 0.0
K054679, 0.0, 0.0, 0.0, 0.9999999999999999
K054684, 0.0, 0.0, 1.0, 0.0
NODE_0000032, 0.1566639741153649, 0.025765591983533467, 0.013493906560489695, 0.8040765273406119
K054650, 0.9999999999999999, 0.0, 0.0, 0.0
NODE_0000033, 0.08825397862379918, 0.010789234528212859, 0.007312420483289473, 0.8936443663646986
K054667, 0.0, 0.0, 0.0, 1.0
NODE_0000009, 0.04326266209372526, 0.0030242955011913473, 0.0022984681243490143, 0.9514145742807344
K054623, 0.0, 0.0, 0.0, 1.0
NODE_0000010, 0.020697509886166632, 0.0008528615754216324, 0.0006977676975192719, 0.9777518608408925
K054626, 0.0, 0.0, 0.0, 1.0
NODE_0000011, 0.00992918097250247, 0.0002722956402240395, 0.00023285359411151851, 0.989565669793162
K054629, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_0000012, 0.0058229063915759445, 0.00011129983270060865, 8.792166159470681e-05, 0.9939778721141287
K054632, 0.0, 0.0, 0.0, 1.0
NODE_0000013, 0.007288600768864364, 0.00012717150174550973, 3.7352580235845195e-05, 0.9925468751491542
K054635, 0.0, 0.0, 0.0, 1.0
NODE_0000014, 0.023954190508953723, 0.0010309911513181446, 3.775548311920688e-05, 0.9749770628566089
K054647, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_0000016, 0.0965343931653172, 0.011458006226675064, 0.00014817739023930836, 0.8918594232177683
K054663, 1.0, 0.0, 0.0, 0.0
NODE_0000017, 0.04727828616375543, 0.0636532538085289, 0.0003177632681940328, 0.8887506967595217
K054666, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_0000019, 0.0003355136118845099, 0.9881442871141404, 2.667927319836354e-05, 0.011493520000776783
ERR11219417, 0.0, 1.0, 0.0, 0.0
NODE_0000020, 3.143947610502985e-05, 0.9933706489984547, 2.2287609750828984e-06, 0.006595682764465079
K054678, 0.0, 0.0, 0.0, 0.9999999999999999
ERR10913347, 0.0, 1.0, 0.0, 0.0
NODE_0000026, 0.21516026156802626, 0.00436700607837675, 0.001831868308205855, 0.7786408640453911
K054631, 0.0, 0.0, 0.0, 1.0
NODE_0000036, 0.06450717589300012, 0.006187316583343197, 0.005545246118405212, 0.9237602614052515
K054625, 0.0, 0.0, 0.0, 1.0
NODE_0000024, 4.501625263188122e-05, 2.3680361153808483e-06, 2.1373483059529706e-06, 0.9999504783629467
K054646, 0.0, 0.0, 0.0, 1.0
K054634, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_0000049, 0.2627257780727849, 0.007098806177554265, 0.005852646963917886, 0.724322768785743
NODE_0000030, 0.979523943578357, 2.8501487399187532e-05, 2.6573626545254285e-05, 0.02042098130769864
K054661, 0.9999999999999999, 0.0, 0.0, 0.0
K054676, 0.0, 0.0, 0.0, 1.0
NODE_0000025, 0.2515867050310784, 0.0029078883119000925, 0.0026038634701167876, 0.7429015431869047
K054622, 0.0, 0.0, 0.0, 1.0
NODE_0000027, 0.39892031687639173, 0.0009009717486701331, 0.0008220909212267827, 0.5993566204537113
K054628, 0.0, 0.0, 0.0, 1.0
NODE_0000028, 0.8863639266447825, 8.810107239125823e-05, 8.141301132752612e-05, 0.11346655927149872
K054649, 1.0, 0.0, 0.0, 0.0
NODE_0000029, 0.8745697513640399, 6.283689804529402e-05, 5.851178488430856e-05, 0.12530889995303046
K054662, 1.0, 0.0, 0.0, 0.0
NODE_0000031, 0.0014824219242614, 2.015428637700243e-06, 1.8604690191005875e-06, 0.9985137021780818
K054677, 0.0, 0.0, 0.0, 1.0
K054665, 0.0, 0.0, 0.0, 1.0
NODE_0000038, 0.23489264721714515, 0.001395566319636631, 0.0009412504450420948, 0.7627705360181761
NODE_0000050, 0.018843398371785197, 8.144840096416562e-06, 7.35894747650476e-06, 0.981141097840642
K054670, 0.0, 0.0, 0.0, 0.9999999999999999
K054639, 0.0, 0.0, 0.0, 1.0
K054654, 1.0, 0.0, 0.0, 0.0
NODE_0000052, 0.30657136082001574, 0.00565555574155338, 0.005247747642083037, 0.6825253357963478
NODE_0000053, 0.038757375326438914, 2.061459450576642e-05, 1.921418777832883e-05, 0.961202795891277
K054643, 0.0, 0.0, 0.0, 1.0
K054658, 1.0, 0.0, 0.0, 0.0
NODE_0000054, 0.977821577407712, 2.1966198735375324e-05, 2.0462628023010893e-05, 0.022135993765529553
K054659, 1.0, 0.0, 0.0, 0.0
K054674, 0.0, 0.0, 0.0, 1.0
NODE_0000039, 0.09202049516263959, 0.002167860928763939, 0.0019822117590244455, 0.9038294321495719
K054627, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_0000040, 0.10875647433039101, 0.0005176547028714651, 0.0004707226064664366, 0.8902551483602711
K054638, 0.0, 0.0, 0.0, 1.0
NODE_0000041, 0.23030516579732077, 0.0002466143269800748, 0.0002269837531158452, 0.7692212361225833
K054648, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_0000042, 0.9998067195466867, 1.8685109230672098e-07, 1.7636574584432332e-07, 0.0001929172364751866
K054664, 0.9999999999999999, 0.0, 0.0, 0.0
K054653, 0.9999999999999999, 0.0, 0.0, 0.0
NODE_0000044, 0.310567206118902, 0.003737846336023929, 0.0034186721555171744, 0.6822762753895568
NODE_0000047, 0.3619334496304473, 0.000731856117809753, 0.0006798280824208251, 0.6366548661693221
K054640, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_0000045, 0.9556632159628894, 1.3336571302504892e-05, 1.2326467658764829e-05, 0.0443111209981494
K054671, 0.0, 0.0, 0.0, 1.0
K054655, 1.0, 0.0, 0.0, 0.0
NODE_0000046, 0.378319667969795, 0.0015503256813797375, 0.0014376192088122464, 0.6186923871400131
K054644, 0.0, 0.0, 0.0, 1.0
NODE_0000048, 0.9695039168576295, 1.4951777529605236e-05, 1.3846940490004312e-05, 0.030467284424350895
K054660, 1.0, 0.0, 0.0, 0.0
K054675, 0.0, 0.0, 0.0, 1.0
