"Transition","BayesFactor"
"Algeria.to.Bangladesh",13.7093575393112
"Algeria.to.Pakistan",2.68367928232341
"Algeria.to.India",0.86843320491081
"Algeria.to.Kenya",1.1661952580366
"Algeria.to.Malawi",0.885213404324424
"Algeria.to.Tanzania",1.05350854316995
"Algeria.to.Yemen",0.810014020566136
"Algeria.to.Zambia",0.815002485759204
"Algeria.to.Zimbabwe",0.917205591878662
"Algeria.to.Norway",0.845007546870861
"Algeria.to.Austria",0.881854183738104
"Algeria.to.Lebanon",1.11917267876252
"Algeria.to.SouthAfrica",0.785124519858751
"Algeria.to.Uganda",1.53348241161111
"Bangladesh.to.Algeria",2.40696501387332
"Bangladesh.to.Pakistan",1.73458676040786
"Bangladesh.to.India",1.09664109164682
"Bangladesh.to.Kenya",0.998674771078567
"Bangladesh.to.Malawi",0.934101647374639
"Bangladesh.to.Tanzania",0.94087132557003
"Bangladesh.to.Yemen",0.876818336533944
"Bangladesh.to.Zambia",0.93579346313485
"Bangladesh.to.Zimbabwe",0.846678237561845
"Bangladesh.to.Norway",0.880175170321381
"Bangladesh.to.Austria",0.829989078782572
"Bangladesh.to.Lebanon",0.917205591878662
"Bangladesh.to.SouthAfrica",0.819994481359345
"Bangladesh.to.Uganda",1.01405435575654
"Pakistan.to.Algeria",0.760322719999525
"Pakistan.to.Bangladesh",0.733963611347262
"Pakistan.to.India",0.512248061012983
"Pakistan.to.Kenya",0.512248061012983
"Pakistan.to.Malawi",19.8226758118801
"Pakistan.to.Tanzania",0.489985101448703
"Pakistan.to.Yemen",0.51384102491112
"Pakistan.to.Zambia",0.529790907195257
"Pakistan.to.Zimbabwe",0.489985101448703
"Pakistan.to.Norway",19.2286031043836
"Pakistan.to.Austria",0.829989078782572
"Pakistan.to.Lebanon",67.1680708681299
"Pakistan.to.SouthAfrica",0.502697991735051
"Pakistan.to.Uganda",0.608481070014385
"India.to.Algeria",72.2903740636983
"India.to.Bangladesh",9.51011693524182
"India.to.Pakistan",14.0988056347855
"India.to.Kenya",3.75831211731401
"India.to.Malawi",0.722462570602141
"India.to.Tanzania",1.94122186287664
"India.to.Yemen",0.581079100098535
"India.to.Zambia",0.504288752236893
"India.to.Zimbabwe",0.526597983197236
"India.to.Norway",0.752074862386989
"India.to.Austria",0.528194260783401
"India.to.Lebanon",1.0260391594966
"India.to.SouthAfrica",0.505879879653855
"India.to.Uganda",35.3832478584206
"Kenya.to.Algeria",0.873463092532814
"Kenya.to.Bangladesh",0.863406887961514
"Kenya.to.Pakistan",0.947647449543278
"Kenya.to.India",0.732319449972091
"Kenya.to.Malawi",0.640857588356652
"Kenya.to.Tanzania",14.4738531586162
"Kenya.to.Yemen",277.813915131983
"Kenya.to.Zambia",0.771886008891221
"Kenya.to.Zimbabwe",0.73560815826854
"Kenya.to.Norway",0.697880882720639
"Kenya.to.Austria",0.63599149941535
"Kenya.to.Lebanon",0.740544113665622
"Kenya.to.SouthAfrica",0.683173217533555
"Kenya.to.Uganda",2.74363499578698
"Malawi.to.Algeria",0.780157158673113
"Malawi.to.Bangladesh",0.670125673784906
"Malawi.to.Pakistan",0.886893611776967
"Malawi.to.India",0.768580270710676
"Malawi.to.Kenya",0.593960675010639
"Malawi.to.Tanzania",0.582687989833005
"Malawi.to.Yemen",0.579470583439945
"Malawi.to.Zambia",0.629508665540715
"Malawi.to.Zimbabwe",0.582687989833005
"Malawi.to.Norway",1.23466105711294
"Malawi.to.Austria",0.537779676116441
"Malawi.to.Lebanon",0.806690336592343
"Malawi.to.SouthAfrica",119631.393722122
"Malawi.to.Uganda",0.653850463674144
"Tanzania.to.Algeria",0.973115479583426
"Tanzania.to.Bangladesh",0.8166660918401
"Tanzania.to.Pakistan",0.891936624471223
"Tanzania.to.India",0.810014020566136
"Tanzania.to.Kenya",4.62386821763898
"Tanzania.to.Malawi",0.712619536784391
"Tanzania.to.Yemen",0.998674771078567
"Tanzania.to.Zambia",143.927972590226
"Tanzania.to.Zimbabwe",2.61359022888489
"Tanzania.to.Norway",0.79838797678971
"Tanzania.to.Austria",0.666867593571623
"Tanzania.to.Lebanon",0.733963611347262
"Tanzania.to.SouthAfrica",0.605251691886785
"Tanzania.to.Uganda",1.56109108850469
"Yemen.to.Algeria",0.808351982722788
"Yemen.to.Bangladesh",0.709341597260219
"Yemen.to.Pakistan",2.06637594918721
"Yemen.to.India",0.833323757922837
"Yemen.to.Kenya",0.571433591746041
"Yemen.to.Malawi",0.532985307007467
"Yemen.to.Tanzania",0.74219020412825
"Yemen.to.Zambia",0.661983323216896
"Yemen.to.Zimbabwe",0.618178215567404
"Yemen.to.Norway",0.661983323216896
"Yemen.to.Austria",0.653850463674144
"Yemen.to.Lebanon",45.3569788507536
"Yemen.to.SouthAfrica",0.626269511109403
"Yemen.to.Uganda",0.64897529673966
"Zambia.to.Algeria",1.07935698573465
"Zambia.to.Bangladesh",0.811676450260914
"Zambia.to.Pakistan",0.880175170321381
"Zambia.to.India",1.03976068919448
"Zambia.to.Kenya",0.949342488768344
"Zambia.to.Malawi",0.833323757922837
"Zambia.to.Tanzania",0.856710679840322
"Zambia.to.Yemen",0.800047666431292
