"Date","Cases"
2022-03-14,3
2022-03-19,5
2022-03-20,10
2022-03-21,10
2022-03-28,7
2022-03-30,5
2022-04-02,6
2022-04-06,4
2022-04-08,5
2022-05-01,6
2022-05-02,6
2022-05-04,3
2022-05-05,3
2022-05-07,7
2022-05-08,3
2022-05-09,18
2022-05-10,18
2022-05-11,15
2022-05-12,17
2022-05-14,9
2022-05-15,10
2022-05-16,23
2022-05-17,7
2022-05-18,18
2022-05-20,10
2022-05-21,22
2022-05-22,19
2022-05-23,12
2022-05-24,16
2022-05-25,28
2022-05-27,18
2022-05-28,15
2022-05-29,24
2022-05-30,22
2022-05-31,17
2022-06-01,20
2022-06-02,12
2022-06-03,6
2022-06-05,10
2022-06-06,8
2022-06-07,14
2022-06-08,8
2022-06-10,8
2022-06-13,12
2022-06-14,15
2022-06-16,8
2022-06-17,6
2022-06-19,6
2022-06-20,10
2022-06-21,9
2022-06-22,3
2022-06-23,10
2022-06-24,10
2022-06-27,5
2022-06-28,6
2022-06-30,7
2022-07-01,7
2022-07-02,7
2022-07-03,12
2022-07-04,12
2022-07-05,6
2022-07-07,5
2022-07-08,10
2022-07-09,9
2022-07-10,15
2022-07-11,15
2022-07-12,10
2022-07-13,10
2022-07-14,10
2022-07-15,5
2022-07-17,8
2022-07-18,4
2022-07-19,10
2022-07-20,6
2022-07-21,19
2022-07-23,8
2022-07-25,7
2022-07-26,6
2022-07-27,7
2022-07-28,13
2022-07-29,7
2022-07-31,10
2022-08-01,5
2022-08-03,10
2022-08-05,6
2022-08-06,6
2022-08-08,9
2022-08-09,9
2022-08-11,5
2022-08-14,6
2022-08-16,6
2022-08-17,23
2022-08-18,40
2022-08-19,50
2022-08-20,50
2022-08-21,29
2022-08-22,35
2022-08-23,40
2022-08-25,45
2022-08-26,27
2022-08-27,27
2022-08-29,32
2022-08-30,28
2022-08-31,27
2022-09-01,63
2022-09-02,56
2022-09-03,56
2022-09-04,49
2022-09-05,50
2022-09-06,55
2022-09-08,23
2022-09-09,19
2022-09-10,91
2022-09-11,92
2022-09-12,93
2022-09-13,75
2022-09-14,51
2022-09-15,47
2022-09-16,48
2022-09-17,38
2022-09-18,40
2022-09-19,48
2022-09-21,28
2022-09-22,12
2022-09-23,39
2022-09-24,39
2022-09-25,30
2022-09-26,42
2022-09-27,48
2022-09-28,44
2022-09-29,51
2022-09-30,40
2022-10-01,67
2022-10-02,65
2022-10-03,49
2022-10-05,88
2022-10-06,62
2022-10-08,74
2022-10-09,59
2022-10-11,71
2022-10-12,55
2022-10-14,76
2022-10-15,62
2022-10-16,96
2022-10-17,52
2022-10-18,88
2022-10-19,65
2022-10-20,58
2022-10-21,108
2022-10-23,52
2022-10-24,103
2022-10-25,104
2022-10-26,75
2022-10-28,91
2022-10-29,83
2022-10-30,89
2022-10-31,118
2022-11-01,118
2022-11-02,86
2022-11-03,159
2022-11-05,244
2022-11-06,67
2022-11-07,164
2022-11-09,175
2022-11-10,136
2022-11-11,152
2022-11-12,200
2022-11-13,114
2022-11-14,95
2022-11-15,137
2022-11-16,133
2022-11-17,144
2022-11-18,137
2022-11-19,100
2022-11-20,120
2022-11-21,108
2022-11-22,251
2022-11-24,193
2022-11-25,195
2022-11-26,168
2022-11-28,154
2022-11-29,201
2022-11-30,152
2022-12-02,140
2022-12-03,141
2022-12-04,107
2022-12-05,137
2022-12-06,142
2022-12-07,195
2022-12-08,182
2022-12-09,157
2022-12-10,155
2022-12-11,121
2022-12-12,150
2022-12-14,165
2022-12-15,134
2022-12-16,152
2022-12-18,123
2022-12-20,211
2022-12-21,203
2022-12-22,204
2022-12-23,217
2022-12-24,199
2022-12-25,236
2022-12-26,254
2022-12-27,325
2022-12-28,346
2022-12-29,348
2022-12-31,390
2023-01-01,465
2023-01-02,411
2023-01-03,456
2023-01-04,467
2023-01-05,488
2023-01-07,472
2023-01-09,499
2023-01-10,500
2023-01-11,590
2023-01-12,459
2023-01-13,531
2023-01-14,561
2023-01-15,553
2023-01-16,575
2023-01-17,467
2023-01-18,468
2023-01-19,612
2023-01-20,612
2023-01-21,561
2023-01-22,562
2023-01-23,601
2023-01-24,626
2023-01-25,626
2023-01-26,590
2023-01-27,576
2023-01-28,603
2023-01-29,584
2023-01-30,748
2023-01-31,564
2023-02-01,665
2023-02-02,680
2023-02-03,686
2023-02-04,536
2023-02-05,673
2023-02-06,605
2023-02-08,559
2023-02-09,557
2023-02-10,502
2023-02-11,533
2023-02-12,507
2023-02-13,516
2023-02-14,477
2023-02-15,505
2023-02-17,486
2023-02-18,432
2023-02-19,373
2023-02-20,435
2023-02-21,370
2023-02-22,467
2023-02-23,472
2023-02-25,467
2023-02-26,427
2023-02-27,393
2023-02-28,417
2023-03-01,417
2023-03-02,343
2023-03-03,370
2023-03-04,370
2023-03-05,325
2023-03-06,305
2023-03-07,287
2023-03-09,333
2023-03-10,290
2023-03-11,289
2023-03-12,236
2023-03-13,264
2023-03-14,220
2023-03-16,244
2023-03-17,243
2023-03-18,199
2023-03-20,198
2023-03-21,165
2023-03-22,159
2023-03-24,169
2023-03-25,133
2023-03-27,152
2023-03-28,154
2023-03-29,147
2023-03-30,118
2023-03-31,131
2023-04-01,109
2023-04-02,109
2023-04-03,90
2023-04-04,131
2023-04-05,104
2023-04-06,2
