"Date","Cases"
2022-08-17,9
2022-10-23,6
2022-11-20,6
2022-11-21,6
2022-12-13,6
2022-12-20,6
2022-12-21,8
2022-12-22,13
2022-12-23,11
2022-12-24,11
2022-12-25,11
2022-12-26,11
2022-12-27,6
2022-12-28,15
2022-12-29,22
2022-12-30,18
2022-12-31,17
2023-01-01,17
2023-01-03,9
2023-01-04,17
2023-01-05,15
2023-01-06,11
2023-01-07,13
2023-01-08,11
2023-01-09,11
2023-01-10,13
2023-01-11,14
2023-01-12,15
2023-01-13,17
2023-01-14,17
2023-01-15,15
2023-01-16,9
2023-01-17,14
2023-01-18,21
2023-01-19,15
2023-01-20,14
2023-01-21,14
2023-01-22,26
2023-01-23,11
2023-01-24,11
2023-01-25,19
2023-01-26,18
2023-01-27,15
2023-01-28,11
2023-01-29,13
2023-01-30,21
2023-01-31,25
2023-02-01,23
2023-02-02,22
