,count_pixels_flooded.x,day_start,day_end,count_pixels_flooded.y,both_layers,both_layers_modified
1,2798,28/12/2021,20220101,1037,3835,3835
2,2130,30/12/2021,20220103,1050,3180,3180
3,2001,31/12/2021,20220104,668,2669,2669
4,1424,01/01/2022,20220105,673,2097,2097
5,1160,02/01/2022,20220106,673,1833,1833
6,767,03/01/2022,20220107,447,1214,1214
7,584,04/01/2022,20220108,238,822,822
8,415,05/01/2022,20220109,240,655,655
9,947,06/01/2022,20220110,1687,2634,2634
10,1714,07/01/2022,20220111,2756,4470,4470
11,1658,08/01/2022,20220112,2767,4425,4425
12,1810,09/01/2022,20220113,2693,4503,4503
13,1807,10/01/2022,20220114,2692,4499,4499
14,1421,11/01/2022,20220115,1773,3194,3194
15,1072,12/01/2022,20220116,3335,4407,4407
16,929,13/01/2022,20220117,4618,5547,5547
17,1248,14/01/2022,20220118,4980,6228,6228
18,1248,15/01/2022,20220119,4991,6239,6239
19,1664,16/01/2022,20220120,5226,6890,6890
20,1721,17/01/2022,20220121,4650,6371,6371
21,1887,18/01/2022,20220122,4075,5962,5962
22,1912,19/01/2022,20220123,3158,5070,5070
23,1957,20/01/2022,20220124,3152,5109,5109
24,1770,21/01/2022,20220125,2736,4506,4506
25,1458,22/01/2022,20220126,1900,3358,3358
26,1518,23/01/2022,20220127,2670,4188,4188
27,905,24/01/2022,20220128,8440,9345,9345
28,1134,25/01/2022,20220129,10174,11308,11308
29,2602,26/01/2022,20220130,10923,13525,13525
30,2863,27/01/2022,20220131,11012,13875,13875
31,3478,28/01/2022,20220201,11597,15075,15075
32,4268,29/01/2022,20220202,11410,15678,15678
33,4533,30/01/2022,20220203,10788,15321,15321
34,4252,31/01/2022,20220204,10385,14637,14637
35,4019,01/02/2022,20220205,10762,14781,14781
36,3890,02/02/2022,20220206,9704,13594,13594
37,3294,03/02/2022,20220207,8994,12288,12288
38,3467,04/02/2022,20220208,8375,11842,11842
39,3217,05/02/2022,20220209,9024,12241,12241
40,3913,06/02/2022,20220210,8827,12740,12740
41,3314,07/02/2022,20220211,8253,11567,11567
42,2868,08/02/2022,20220212,8000,10868,10868
43,1928,09/02/2022,20220213,7551,9479,9479
44,2298,10/02/2022,20220214,6633,8931,8931
45,1624,11/02/2022,20220215,4779,6403,6403
46,1943,12/02/2022,20220216,2982,4925,4925
47,2136,13/02/2022,20220217,3047,5183,5183
48,2635,14/02/2022,20220218,2175,4810,4810
49,2636,15/02/2022,20220219,1525,4161,4161
50,2134,16/02/2022,20220220,1579,3713,3713
51,1742,17/02/2022,20220221,1745,3487,3487
52,2125,18/02/2022,20220222,4343,6468,6468
53,3750,19/02/2022,20220223,5808,9558,9558
54,5090,20/02/2022,20220224,7784,12874,12874
55,6326,21/02/2022,20220225,9406,15732,15732
56,6494,22/02/2022,20220226,9532,16026,16026
57,6546,23/02/2022,20220227,9200,15746,15746
58,6304,24/02/2022,20220228,8834,15138,15138
59,5668,25/02/2022,20220301,8574,14242,14242
60,6149,26/02/2022,20220302,8984,15133,15133
61,6864,27/02/2022,20220303,8945,15809,15809
62,7599,28/02/2022,20220304,8975,16574,16574
63,8992,01/03/2022,20220305,9026,18018,18018
64,8692,02/03/2022,20220306,8815,17507,17507
65,8078,03/03/2022,20220307,8219,16297,16297
66,7765,04/03/2022,20220308,8005,15770,15770
67,6199,05/03/2022,20220309,7518,13717,13717
68,4521,07/03/2022,20220311,6455,10976,10976
69,4104,08/03/2022,20220312,6121,10225,10225
70,4305,09/03/2022,20220313,4313,8618,8618
71,3914,10/03/2022,20220314,1780,5694,5694
72,2871,11/03/2022,20220315,2600,5471,5471
73,2968,12/03/2022,20220316,3882,6850,6850
74,3848,13/03/2022,20220317,7190,11038,11038
75,3005,14/03/2022,20220318,7195,10200,10200
76,2637,15/03/2022,20220319,7057,9694,9694
77,2653,16/03/2022,20220320,7137,9790,9790
78,2709,17/03/2022,20220321,7258,9967,9967
79,3343,18/03/2022,20220322,6050,9393,9393
80,4434,19/03/2022,20220323,7477,11911,11911
81,6190,20/03/2022,20220324,8689,14879,14879
82,6539,21/03/2022,20220325,8686,15225,15225
83,7353,22/03/2022,20220326,8823,16176,16176
84,7152,23/03/2022,20220327,8744,15896,15896
85,6746,24/03/2022,20220328,8174,14920,14920
86,5776,25/03/2022,20220329,7139,12915,12915
87,5586,26/03/2022,20220330,6618,12204,12204
88,4428,27/03/2022,20220331,6049,10477,10477
89,5015,28/03/2022,20220401,6533,11548,11548
90,5408,29/03/2022,20220402,6660,12068,12068
91,5771,30/03/2022,20220403,7457,13228,13228
92,5808,31/03/2022,20220404,7467,13275,13275
93,5491,01/04/2022,20220405,7291,12782,12782
94,5188,02/04/2022,20220406,7049,12237,12237
95,5017,03/04/2022,20220407,7221,12238,12238
96,4693,04/04/2022,20220408,6505,11198,11198
97,4899,05/04/2022,20220409,6293,11192,11192
98,4562,06/04/2022,20220410,6296,10858,10858
99,5253,07/04/2022,20220411,7064,12317,12317
100,5369,08/04/2022,20220412,6750,12119,12119
101,5240,09/04/2022,20220413,6863,12103,12103
102,5412,10/04/2022,20220414,7308,12720,12720
103,5358,11/04/2022,20220415,7292,12650,12650
104,4909,12/04/2022,20220416,6847,11756,11756
105,4643,13/04/2022,20220417,6354,10997,10997
106,4467,14/04/2022,20220418,6199,10666,10666
107,4358,15/04/2022,20220419,5590,9948,9948
108,4330,16/04/2022,20220420,5185,9515,9515
109,4048,17/04/2022,20220421,4556,8604,8604
110,4467,19/04/2022,20220423,3776,8243,8243
111,4185,20/04/2022,20220424,3945,8130,8130
112,4114,21/04/2022,20220425,4745,8859,8859
113,4095,22/04/2022,20220426,5102,9197,9197
114,3691,23/04/2022,20220427,4626,8317,8317
115,3474,24/04/2022,20220428,NA,NA,8142.5
116,3353,25/04/2022,20220429,4711,8064,8064
117,3593,26/04/2022,20220430,4732,8325,8325
118,3817,27/04/2022,20220501,4684,8501,8501
